[01:34:07] [INFO] received Windows console close event; shutting log-core down
[01:38:50] [INFO] received Windows console close event; shutting log-core down
[01:44:47] [INFO] received Windows console close event; shutting log-core down
[01:47:21] [INFO] received Windows console close event; shutting log-core down
[21:50:50] [INFO] received Windows console close event; shutting log-core down
[21:50:51] [INFO] received Windows console close event; shutting log-core down
[19:09:56] [INFO] received Windows console close event; shutting log-core down
[19:32:17] [INFO] received Windows console close event; shutting log-core down
[05:22:41] [INFO] received Windows console close event; shutting log-core down
[06:39:58] [INFO] received Windows console close event; shutting log-core down
[19:27:14] [INFO] received Windows console close event; shutting log-core down
[19:41:59] [INFO] received Windows console close event; shutting log-core down
[19:54:10] [INFO] received Windows console close event; shutting log-core down
[19:58:34] [INFO] received Windows console close event; shutting log-core down
[20:01:06] [INFO] received Windows console close event; shutting log-core down
[01:26:10] [INFO] received Windows console close event; shutting log-core down
[01:30:49] [INFO] received Windows console close event; shutting log-core down
[17:32:43] [INFO] received Windows console close event; shutting log-core down
[17:34:46] [INFO] received Windows console close event; shutting log-core down
[17:57:43] [INFO] received Windows console close event; shutting log-core down
[12:39:31] [INFO] received Windows console close event; shutting log-core down
[00:11:10] [INFO] received Windows console close event; shutting log-core down
[00:21:44] [INFO] received Windows console close event; shutting log-core down
[03:33:29] [INFO] received Windows console close event; shutting log-core down
[03:34:11] [INFO] received Windows console close event; shutting log-core down
[03:34:42] [INFO] received Windows console close event; shutting log-core down
[03:37:39] [INFO] received Windows console close event; shutting log-core down
[03:40:36] [INFO] received Windows console close event; shutting log-core down
[14:25:15] [INFO] received Windows console close event; shutting log-core down
[14:25:16] [INFO] received Windows console close event; shutting log-core down
